voter_id,name,age,gender,race,income,location,party,abortion_view,gun_control_view,immigration_view,voted_last_election
84891255,Darnell Johnson,43,Male,Black,High,Urban,Democrat,1.6,2.3,1.6,False
76236989,Elizabeth Johnson,62,Female,White,High,Suburban,Democrat,2.2,1.4,0.9,True
58261217,Woo Jung,86,Male,Asian,Low,Suburban,Democrat,2.2,1.4,1.5,False
39895612,Malik Anderson,28,Male,Black,Low,Urban,Democrat,0.8,1.1,2.1,True
94821339,Darius Moore,38,Male,Black,Middle,Suburban,Democrat,1.2,2.1,1.2,True
8325169,Susan Brown,79,Female,White,Low,Rural,Republican,-2.5,-2.7,-3.0,False
23924079,Luis Gonzalez,46,Male,Hispanic,High,Suburban,Republican,-3.0,-1.5,-1.6,False
15027052,Elizabeth Davis,25,Female,White,High,Urban,Republican,-2.1,-2.5,-1.6,True
79641567,Sarah Rodriguez,63,Female,White,High,Urban,Republican,-2.2,-1.6,-3.0,True
81340714,Ana Torres,71,Female,Hispanic,Middle,Suburban,Democrat,2.4,1.8,1.3,False
92802875,Richard Jones,55,Male,White,Low,Urban,Republican,-1.4,-1.4,-2.8,True
56318996,Thomas Wilson,86,Male,White,Middle,Rural,Republican,-2.4,-3.0,-2.4,False
10499330,Linda Davis,50,Female,White,Middle,Urban,Democrat,1.5,2.8,2.3,True
59880282,Charles Garcia,79,Male,White,Low,Suburban,Democrat,2.4,2.2,1.2,True
3904444,James Davis,32,Male,White,Middle,Urban,Republican,-1.8,-1.4,-2.1,False
85195179,John Johnson,83,Male,White,Low,Urban,Republican,-2.5,-2.0,-2.3,False
97073093,William Davis,73,Male,White,Middle,Rural,Republican,-2.6,-1.9,-1.4,True
38015441,Jennifer Miller,27,Female,White,Middle,Urban,Republican,-2.0,-1.6,-1.8,True
39200093,Michael Smith,66,Male,White,High,Suburban,Republican,-3.0,-1.8,-2.2,True
47284481,John Wilson,54,Male,White,High,Suburban,Democrat,2.0,2.3,1.6,True
24688908,David Davis,19,Male,White,Middle,Urban,Democrat,2.0,1.9,1.3,True
8716084,Li Yang,83,Male,Asian,Low,Rural,Republican,-3.0,-3.0,-1.6,True
65314902,Jose Hernandez,81,Male,Hispanic,High,Suburban,Republican,-2.1,-2.4,-1.5,False
37275128,James Jones,59,Male,White,Middle,Suburban,Republican,-1.4,-3.0,-1.4,True
97587258,Nia Davis,46,Female,Black,High,Rural,Democrat,1.7,0.6,1.7,False
86301937,Mary Jones,24,Female,White,Middle,Suburban,Republican,-2.4,-3.0,-2.6,False
8739911,Mary Wilson,75,Female,White,Middle,Rural,Democrat,2.3,1.7,1.4,True
18646015,Carmen Perez,21,Female,Hispanic,Low,Urban,Republican,-2.5,-2.1,-1.6,False
72840269,Luis Torres,36,Male,Hispanic,Low,Rural,Republican,-2.0,-2.5,-2.1,False
2912150,Maria Torres,76,Female,Hispanic,Low,Urban,Democrat,1.7,2.6,1.6,True
99578037,Andre Brown,18,Male,Black,Middle,Rural,Democrat,1.6,1.7,1.7,True
73803549,Jesus Garcia,74,Male,Hispanic,High,Rural,Republican,-3.0,-2.4,-3.0,True
87482259,Joseph Jones,86,Male,White,High,Rural,Republican,-2.2,-2.6,-1.9,True
82297593,John Brown,75,Male,White,High,Urban,Republican,-3.0,-1.2,-2.2,True
37741651,Andre Williams,19,Male,Black,Low,Urban,Democrat,1.5,1.9,1.5,False
73436868,Linda Smith,20,Female,White,Middle,Urban,Democrat,2.5,2.2,1.8,True
12083565,LaToya Davis,21,Female,Black,High,Urban,Democrat,2.7,2.6,1.1,False
98536117,Jessica Garcia,20,Female,White,High,Suburban,Republican,-2.0,-2.3,-1.8,False
20056937,Maria Martinez,80,Female,Hispanic,Low,Rural,Democrat,2.7,2.4,1.3,True
57757789,Luis Sanchez,45,Male,Hispanic,Middle,Urban,Democrat,1.5,2.0,2.0,True
81065133,Sarah Rodriguez,66,Female,White,Low,Urban,Democrat,2.4,2.4,1.2,True
45974539,Jose Gonzalez,71,Male,Hispanic,Middle,Urban,Democrat,2.0,3.0,0.6,True
74975366,Carlos Perez,39,Male,Hispanic,Low,Suburban,Democrat,1.9,2.0,2.2,True
4950299,Jesus Sanchez,27,Male,Hispanic,Middle,Suburban,Democrat,1.5,1.9,2.3,True
94579861,Patricia Rodriguez,43,Female,White,High,Urban,Republican,-1.8,-1.7,-2.1,False
27039018,Alejandro Garcia,67,Male,Hispanic,Middle,Urban,Democrat,0.8,2.8,1.9,False
9457590,Jennifer Brown,50,Female,White,Middle,Rural,Republican,-2.5,-2.3,-2.7,False
83478171,William Wilson,49,Male,White,Middle,Urban,Republican,-1.6,-2.4,-2.5,False
36351759,Marcus Wilson,21,Male,Black,Middle,Urban,Democrat,2.0,1.8,1.0,False
9496657,Teresa Hernandez,57,Female,Hispanic,Middle,Rural,Democrat,2.5,2.8,1.7,True
51434056,Linda Davis,88,Female,White,Middle,Urban,Democrat,2.6,2.7,2.0,True
83404123,Michael Williams,51,Male,White,Middle,Suburban,Republican,-2.0,-3.0,-2.6,False
19768563,Charles Smith,44,Male,White,Middle,Suburban,Republican,-1.1,-2.9,-2.1,True
33823754,Michael Johnson,46,Male,White,Low,Urban,Independent,0.5,-2.4,1.1,True
22667948,Raj Singh,71,Male,Asian,High,Suburban,Independent,-0.8,-1.4,-2.4,False
92578134,Guadalupe Martinez,41,Female,Hispanic,Middle,Rural,Republican,-2.5,-1.7,-3.0,False
35890345,Nia Anderson,42,Female,Black,High,Urban,Democrat,1.6,2.5,0.9,True
64575484,Jessica Rodriguez,19,Female,White,Middle,Urban,Democrat,2.8,1.6,1.8,True
13392806,Aaliyah Anderson,46,Female,Black,High,Urban,Democrat,2.8,1.4,2.1,True
90772395,Richard Miller,35,Male,White,Low,Urban,Republican,-2.2,-1.2,-1.5,False
43611944,Vihaan Reddy,84,Male,Asian,Low,Suburban,Republican,-2.2,-2.4,-1.3,True
58809388,Maria Torres,31,Female,Hispanic,Middle,Rural,Independent,-1.3,0.2,2.5,False
70214796,Charles Brown,18,Male,White,Middle,Urban,Independent,-3.0,1.1,-2.3,False
31457748,Patricia Jones,57,Female,White,Middle,Suburban,Republican,-1.0,-2.4,-1.6,False
22052153,Andre Anderson,30,Male,Black,Middle,Suburban,Democrat,2.7,2.2,2.5,False
40152123,Susan Rodriguez,39,Female,White,Low,Rural,Republican,-2.4,-1.8,-2.8,True
15759732,Zhang Lei,39,Male,Asian,Middle,Rural,Democrat,1.9,1.9,2.3,False
18427349,Elizabeth Williams,64,Female,White,High,Rural,Democrat,2.3,1.5,1.6,True
58524365,Chen Xin,30,Male,Asian,High,Suburban,Republican,-2.1,-3.0,-2.4,True
11624472,Jesus Ramirez,63,Male,Hispanic,Middle,Urban,Republican,-2.0,-2.4,-2.1,True
338831,Jennifer Miller,81,Female,White,High,Urban,Democrat,2.5,2.8,1.4,True
27193963,Jennifer Brown,82,Female,White,Middle,Suburban,Independent,3.0,0.6,-0.5,True
78856997,Karen Smith,57,Female,White,Low,Rural,Republican,-2.5,-2.3,-2.9,False
99508822,Thomas Brown,30,Male,White,Low,Urban,Republican,-3.0,-1.6,-2.1,True
3308983,Karen Smith,28,Female,White,Low,Urban,Democrat,2.0,1.2,1.3,False
68667522,Sarah Davis,49,Female,White,High,Urban,Republican,-1.5,-3.0,-3.0,True
47148582,William Johnson,87,Male,White,Middle,Rural,Republican,-3.0,-2.0,-1.8,False
96112059,Darnell Taylor,61,Male,Black,Low,Rural,Democrat,1.9,2.3,2.3,False
42188777,Miguel Martinez,90,Male,Hispanic,High,Urban,Independent,0.5,-0.1,-0.4,True
1648772,Teresa Perez,66,Female,Hispanic,Middle,Suburban,Democrat,2.1,3.0,0.9,True
67634441,Nancy Wilson,79,Female,White,Middle,Urban,Democrat,2.1,2.3,1.0,False
70406039,Tanisha Davis,58,Female,Black,Middle,Urban,Democrat,2.6,1.8,1.2,True
90568732,Jesus Perez,53,Male,Hispanic,Middle,Suburban,Republican,-2.2,-2.6,-2.1,True
24291640,Joon Park,29,Male,Asian,High,Urban,Democrat,1.1,2.6,2.2,False
34473953,John Miller,27,Male,White,High,Suburban,Republican,-2.5,-1.7,-1.5,True
924155,David Miller,46,Male,White,High,Suburban,Republican,-2.4,-2.6,-1.8,True
58506362,Darius Moore,59,Male,Black,Middle,Suburban,Democrat,2.2,1.1,1.4,False
10074868,Nancy Brown,80,Female,White,Middle,Urban,Republican,-1.6,-1.6,-2.0,True
83611214,David Miller,68,Male,White,High,Urban,Independent,-0.2,-0.4,1.3,True
80538075,John Johnson,20,Male,White,High,Urban,Republican,-2.6,-3.0,-2.1,False
32919934,James Brown,28,Male,White,Low,Suburban,Republican,-2.2,-2.4,-1.4,False
41525210,Antonio Sanchez,79,Male,Hispanic,Low,Suburban,Independent,-0.7,-0.1,0.3,False
25862571,Li Bin,73,Male,Asian,Low,Suburban,Republican,-2.6,-2.8,-2.8,True
80269741,Ji Kim,81,Female,Asian,High,Rural,Republican,-1.0,-1.8,-2.0,True
12835467,Karen Williams,51,Female,White,Middle,Urban,Democrat,1.6,2.3,1.7,True
94204274,Susan Davis,40,Female,White,Middle,Urban,Republican,-2.5,-3.0,-1.7,False
47539441,Jennifer Jones,50,Female,White,Middle,Suburban,Democrat,2.6,2.4,2.9,True
65182865,David Miller,30,Male,White,Middle,Rural,Republican,-2.4,-3.0,-1.6,True
67304074,Tremayne Johnson,56,Male,Black,Middle,Rural,Democrat,1.6,2.6,1.8,True
40856257,Sarah Miller,82,Female,White,Low,Suburban,Republican,-2.5,-1.8,-1.7,False
6552442,Richard Wilson,49,Male,White,Low,Suburban,Republican,-2.3,-1.4,-2.1,False
5041703,Patricia Wilson,48,Female,White,High,Suburban,Democrat,1.4,0.8,1.1,False
15236761,John Rodriguez,57,Male,White,Middle,Rural,Republican,-1.2,-3.0,-2.0,True
55162173,Jennifer Wilson,35,Female,White,Middle,Urban,Democrat,1.5,2.9,-0.2,False
67349900,Thomas Wilson,79,Male,White,Low,Urban,Republican,-3.0,-2.3,-1.4,False
31926656,William Smith,63,Male,White,High,Urban,Democrat,1.3,2.1,1.8,True
89593115,Yang Wei,31,Male,Asian,Middle,Urban,Democrat,1.9,1.7,1.9,False
54382217,Nancy Wilson,68,Female,White,Low,Suburban,Democrat,2.5,2.3,1.5,True
28708931,James Wilson,41,Male,White,Middle,Rural,Republican,-2.9,-2.5,-1.8,False
19821390,Arjun Sharma,44,Male,Asian,Middle,Rural,Republican,-3.0,-2.4,-0.9,True
36085835,Nia Williams,33,Female,Black,Low,Suburban,Democrat,2.3,2.0,2.5,False
70843769,Joseph Smith,51,Male,White,High,Suburban,Republican,-2.8,-1.5,-1.7,False
79647096,Susan Wilson,72,Female,White,Middle,Urban,Democrat,1.3,1.7,1.5,False
81384263,Nancy Brown,47,Female,White,Middle,Urban,Republican,-1.7,-2.5,-2.1,False
83869660,Sarah Davis,49,Female,White,High,Suburban,Republican,-1.2,-1.4,-1.7,False
65020377,Robert Davis,81,Male,White,High,Urban,Republican,-1.5,-1.5,-3.0,True
19493734,John Brown,49,Male,White,Middle,Suburban,Republican,-2.7,-2.5,-1.1,True
22614041,Raj Patel,36,Male,Asian,High,Urban,Republican,-2.3,-1.4,-2.0,True
52078645,Susan Davis,45,Female,White,Middle,Urban,Democrat,3.0,1.6,1.6,True
57676194,Sarah Davis,32,Female,White,High,Rural,Republican,-2.0,-1.7,-2.0,False
89221790,Jose Ramirez,71,Male,Hispanic,Middle,Suburban,Republican,-1.8,-3.0,-2.4,False
57406791,Jessica Brown,67,Female,White,Middle,Suburban,Democrat,2.9,2.5,2.0,False
81081274,William Miller,63,Male,White,Middle,Suburban,Democrat,1.8,1.8,2.0,True
44027805,Elizabeth Davis,22,Female,White,High,Suburban,Republican,-2.0,-2.0,-2.2,True
